name,tier,category,sub_category,description
"Ironroot Chestplate",common,chest,medium,"A basic chestplate made from dense ironwood bark."
"Girdle of the Sand Strider",common,belt,clothing,"Simple leather belt favored by desert nomads."
"Obsidian Chainbelt",common,belt,heavy,"Heavy, but unbreakable under pressure."
"Amulet of Silent Accord",common,amulet,trinket,"Allows mental communication between allies."
"Potion of Whispering Smoke",common,consumable,attribute_potion,"Used to create a temporary cloud of concealment."
"Ashen Claws",common,gloves,light,"Gloves left behind in volcanic ash."
"Steelhorn Helm",common,helmet,heavy,"Decorated with bull horns, favored by warriors."
"Wanderer's Boots",common,boots,light,"Reliable footwear for long journeys."
"Ring of Binding Vows",common,ring,trinket,"Traditionally worn during magical pacts."
"Defender's Crest",common,shield,shield,"A basic but sturdy round shield."
"Gauntlets of the Forgehand",common,gloves,heavy,"Trusted by blacksmiths and brawlers alike."
"Necklace of Serpent's Gaze",common,necklace,trinket,"Grants resistance to poison."
"Ironclasp Belt",common,belt,medium,"Standard issue for city guards."
"Helm of the Forgotten",common,helmet,medium,"Weathered, but still protective."
"Chestguard of the Northwatch",common,chest,heavy,"Designed to withstand freezing winds."
"Ranger's Trail Boots",common,boots,medium,"Perfect for  stalking through underbrush."
"Belt of the Tunneler",common,belt,light,"Grants improved movement through narrow passages."
"Flamebound Gauntlets",epic,gloves,heavy,"Gloves that radiate heat from ancient fire spirits."
"Silentstep Boots",epic,boots,light,"Enchanted to mute all footsteps of the wearer."
"Ring of the Moonlit Vale",epic,ring,trinket,"Glows under moonlight, enhancing night vision."
"Frostbite Blade",epic,weapon,sword,"A sword with a chilling edge that freezes on contact."
"Breastplate of the Hollow Grove",epic,chest,medium,"Made from sacred trees and resistant to magic."
"Boots of the Gale Dancer",epic,boots,light,"Move like the wind; light and swift."
"Necklace of the Twin Suns",epic,necklace,trinket,"A symbol of balance between fury and peace."
"Tower Shield of Valor",epic,shield,shield,"Its presence inspires courage in allies."
"Dagger of Night's Breath",epic,weapon,dagger,"A blade coated with permanent shadow essence."
"Potion of Crystal Focus",epic,consumable,attribute_potion,"Sharpen the mind and heighten senses."
"Drakescale Hauberk",epic,chest,light,"Armor made from rare drake scales."
"Dustwalker's Sash",epic,belt,clothing,"Enchanted to reduce sand resistance."
"Amulet of the Verdant Bloom",epic,amulet,trinket,"Grants minor healing when near flora."
"Potion of Ember Vigor",epic,consumable,attribute_potion,"Bursts of energy course through your veins."
"Wyrmbone Helm",epic,helmet,heavy,"Carved from the skull of a young dragon."
"Ring of Emberglass",epic,ring,trinket,"A magical glass ring warm to the touch."
"Amulet of the Shifting Tide",epic,amulet,trinket,"In tune with moon phases, grants different effects."
"Kite Shield of the Skyborn",epic,shield,shield,"Carved with wings and enchanted for agility."
"Gloves of Crimson Touch",epic,gloves,medium,"Each punch ignites with heat."
"Necklace of Broken Chains",epic,necklace,trinket,"Symbolizes liberation, grants bonus to willpower."
"Helm of the Forgotten King",legendary,helmet,heavy,"A helm imbued with the wisdom of a thousand rulers."
"Necklace of Echoing Whispers",legendary,necklace,trinket,"Allows the wearer to hear secrets from the shadows."
"Amulet of the Deep",legendary,amulet,trinket,"Hums with power from the ocean's deepest trench."
"Bulwark of the Last Stand",legendary,shield,shield,"Protected a lone warrior during a doomed siege."
"Crown of Embersteel",legendary,helmet,heavy,"A regal helm forged in dragonfire."
"Ring of Stolen Time",legendary,ring,trinket,"Grants brief moments of slowed time."
"Necklace of the Starborn",legendary,necklace,trinket,"Holds a fragment of a fallen star."
"Runeblade of the Forgotten Temple",legendary,weapon,sword,"Ancient runes glow faintly with power."
"Chainmail of the Black Sun",legendary,chest,medium,"Absorbs light, rendering the wearer harder to see."
"Swiftsoul Boots",legendary,boots,light,"Runes increase travel speed dramatically."
"Stormcaller's Blade",legendary,weapon,sword,"Strikes summon thunderclaps upon contact."
"Potion of Lunar Dreams",legendary,consumable,attribute_potion,"Triggers vivid visions or insights."
"Grasp of the Mountain",legendary,gloves,heavy,"Infuses wearer with the might of stone."
"Ring of the Wyrm",legendary,ring,trinket,"Linked to an ancient dragon soul."
